po_id,supplier_id,order_date,promised_delivery_date,actual_delivery_date,status,product_category,quantity,unit_cost,total_po_value,buyer_region,payment_terms_days,supplier_name,tier,supplier_region,promised_lead_time,actual_lead_time,days_delayed,is_delayed,is_on_time,delay_cost,order_month
PO-2024-000047,SUP-015,2024-07-27,2024-08-03,2024-08-03,Delivered,Electronics,306,33.33,10198.98,APAC,30,"Zuniga, Wong and Lynch",Tier 2,APAC,7,7.0,0.0,False,True,0.0,2024-07
PO-2024-000048,SUP-018,2024-05-03,2024-06-03,2024-06-05,Delivered,Electronics,71,254.74,18086.54,APAC,45,Underwood LLC,Tier 3,North America,31,33.0,2.0,True,False,72.35,2024-05
PO-2023-000049,SUP-024,2023-04-19,2023-04-28,2023-04-30,Delivered,Logistics Services,357,490.2,175001.4,North America,30,Campos Inc,Tier 3,EMEA,9,11.0,2.0,True,False,700.01,2023-04
PO-2023-000050,SUP-012,2023-01-04,2023-01-17,2023-01-17,Delivered,Packaging,30,50.4,1512.0,EMEA,30,Stanley LLC,Tier 2,EMEA,13,13.0,0.0,False,True,0.0,2023-01
PO-2024-000051,SUP-016,2024-07-02,2024-07-15,2024-07-19,Delivered,Raw Materials,473,154.16,72917.68,EMEA,60,"Sanchez, Ford and Nelson",Tier 2,APAC,13,17.0,4.0,True,False,583.34,2024-07
PO-2024-000052,SUP-017,2024-10-20,2024-11-04,2024-11-04,Delivered,Logistics Services,457,64.01,29252.57,EMEA,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,15,15.0,0.0,False,True,0.0,2024-10
PO-2023-000053,SUP-025,2023-08-02,2023-08-16,2023-08-16,Delivered,Electronics,486,207.35,100772.1,EMEA,60,Conner Group,Tier 3,EMEA,14,14.0,0.0,False,True,0.0,2023-08
PO-2023-000054,SUP-011,2023-08-10,2023-08-21,2023-08-21,Delivered,Raw Materials,82,288.37,23646.34,EMEA,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,11,11.0,0.0,False,True,0.0,2023-08
PO-2024-000055,SUP-005,2024-02-16,2024-02-24,2024-02-24,Delivered,Logistics Services,329,218.55,71902.95,APAC,60,Cole LLC,Tier 1,APAC,8,8.0,0.0,False,True,0.0,2024-02
PO-2024-000056,SUP-015,2024-07-19,2024-08-02,2024-08-02,Delivered,Raw Materials,370,262.54,97139.8,EMEA,30,"Zuniga, Wong and Lynch",Tier 2,APAC,14,14.0,0.0,False,True,0.0,2024-07
PO-2023-000057,SUP-013,2023-09-26,2023-10-13,2023-10-13,Delivered,MRO,252,32.51,8192.52,EMEA,30,Delacruz Group,Tier 2,APAC,17,17.0,0.0,False,True,0.0,2023-09
PO-2024-000058,SUP-005,2024-05-26,2024-05-29,,Cancelled,Logistics Services,163,414.45,67555.35,APAC,60,Cole LLC,Tier 1,APAC,3,,,False,False,0.0,2024-05
PO-2023-000059,SUP-008,2023-06-17,2023-06-23,2023-06-23,Delivered,Electronics,304,497.75,151316.0,APAC,60,Davis Inc,Tier 2,EMEA,6,6.0,0.0,False,True,0.0,2023-06
PO-2023-000060,SUP-025,2023-04-11,2023-04-29,2023-05-09,Delivered,Electronics,340,264.92,90072.8,North America,60,Conner Group,Tier 3,EMEA,18,28.0,10.0,True,False,1801.46,2023-04
PO-2024-000061,SUP-023,2024-08-08,2024-09-11,2024-09-11,Delivered,Raw Materials,402,75.09,30186.18,APAC,30,Robinson-Bright,Tier 3,APAC,34,34.0,0.0,False,True,0.0,2024-08
PO-2023-000062,SUP-022,2023-02-26,2023-03-20,2023-03-20,Delivered,Packaging,460,94.56,43497.6,North America,30,Burgess-Patterson,Tier 3,APAC,22,22.0,0.0,False,True,0.0,2023-02
PO-2023-000063,SUP-012,2023-06-12,2023-06-29,2023-06-29,Delivered,Packaging,364,46.64,16976.96,APAC,30,Stanley LLC,Tier 2,EMEA,17,17.0,0.0,False,True,0.0,2023-06
PO-2024-000064,SUP-025,2024-01-25,2024-02-12,2024-02-22,Delivered,Raw Materials,365,272.07,99305.55,North America,60,Conner Group,Tier 3,EMEA,18,28.0,10.0,True,False,1986.11,2024-01
PO-2024-000065,SUP-006,2024-01-07,2024-01-31,2024-01-31,Delivered,Packaging,386,295.63,114113.18,EMEA,30,Blake and Sons,Tier 2,APAC,24,24.0,0.0,False,True,0.0,2024-01
PO-2024-000066,SUP-019,2024-08-16,2024-08-29,2024-08-29,Delivered,Electronics,270,317.26,85660.2,North America,45,Clark PLC,Tier 3,EMEA,13,13.0,0.0,False,True,0.0,2024-08
PO-2023-000067,SUP-013,2023-07-01,2023-07-11,2023-07-11,Delivered,MRO,22,223.86,4924.92,North America,30,Delacruz Group,Tier 2,APAC,10,10.0,0.0,False,True,0.0,2023-07
PO-2024-000068,SUP-007,2024-01-04,2024-01-10,2024-01-10,Delivered,Raw Materials,320,381.91,122211.2,APAC,45,Ramirez-Lewis,Tier 2,APAC,6,6.0,0.0,False,True,0.0,2024-01
PO-2024-000069,SUP-005,2024-07-01,2024-07-05,2024-07-05,Delivered,Packaging,406,278.79,113188.74,North America,60,Cole LLC,Tier 1,APAC,4,4.0,0.0,False,True,0.0,2024-07
PO-2023-000070,SUP-017,2023-04-18,2023-05-11,2023-05-11,Delivered,MRO,151,66.32,10014.32,EMEA,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,23,23.0,0.0,False,True,0.0,2023-04
PO-2024-000071,SUP-010,2024-11-20,2024-12-05,2024-12-05,Delivered,Logistics Services,46,46.99,2161.54,North America,45,"Martinez, Nielsen and Miller",Tier 2,APAC,15,15.0,0.0,False,True,0.0,2024-11
PO-2023-000072,SUP-015,2023-11-08,2023-11-24,2023-12-06,Delivered,Electronics,190,339.28,64463.2,North America,30,"Zuniga, Wong and Lynch",Tier 2,APAC,16,28.0,12.0,True,False,1547.12,2023-11
PO-2024-000073,SUP-009,2024-06-01,2024-06-18,2024-06-18,Delivered,Logistics Services,372,312.84,116376.48,APAC,45,Munoz-Roman,Tier 2,APAC,17,17.0,0.0,False,True,0.0,2024-06
PO-2023-000074,SUP-005,2023-07-04,2023-07-11,2023-07-11,Delivered,Packaging,341,337.45,115070.45,EMEA,60,Cole LLC,Tier 1,APAC,7,7.0,0.0,False,True,0.0,2023-07
PO-2024-000075,SUP-019,2024-08-20,2024-09-06,2024-09-06,Delivered,Electronics,66,443.85,29294.1,North America,45,Clark PLC,Tier 3,EMEA,17,17.0,0.0,False,True,0.0,2024-08
PO-2023-000076,SUP-001,2023-08-28,2023-09-01,2023-09-01,Delivered,Logistics Services,322,206.93,66631.46,North America,45,"Rodriguez, Figueroa and Sanchez",Tier 1,North America,4,4.0,0.0,False,True,0.0,2023-08
PO-2024-000077,SUP-014,2024-11-29,2024-12-06,2024-12-06,Delivered,Electronics,252,250.97,63244.44,APAC,60,"Flowers, Martin and Kelly",Tier 2,EMEA,7,7.0,0.0,False,True,0.0,2024-11
PO-2023-000078,SUP-012,2023-02-17,2023-03-05,,Cancelled,MRO,157,319.1,50098.7,EMEA,30,Stanley LLC,Tier 2,EMEA,16,,,False,False,0.0,2023-02
PO-2024-000079,SUP-016,2024-11-02,2024-11-15,2024-11-15,Delivered,MRO,179,121.37,21725.23,North America,60,"Sanchez, Ford and Nelson",Tier 2,APAC,13,13.0,0.0,False,True,0.0,2024-11
PO-2024-000080,SUP-024,2024-11-19,2024-12-16,2024-12-27,Delivered,Raw Materials,428,164.63,70461.64,North America,30,Campos Inc,Tier 3,EMEA,27,38.0,11.0,True,False,1550.16,2024-11
PO-2023-000081,SUP-015,2023-02-12,2023-02-27,2023-02-27,Delivered,Raw Materials,285,240.75,68613.75,APAC,30,"Zuniga, Wong and Lynch",Tier 2,APAC,15,15.0,0.0,False,True,0.0,2023-02
PO-2024-000082,SUP-023,2024-09-23,2024-10-10,2024-10-10,Delivered,Raw Materials,166,328.2,54481.2,North America,30,Robinson-Bright,Tier 3,APAC,17,17.0,0.0,False,True,0.0,2024-09
PO-2023-000083,SUP-020,2023-10-31,2023-11-28,2023-12-03,Delivered,Logistics Services,30,126.8,3804.0,North America,60,Lewis-Porter,Tier 3,North America,28,33.0,5.0,True,False,38.04,2023-10
PO-2024-000084,SUP-004,2024-07-07,2024-07-13,2024-07-13,Delivered,Packaging,163,34.96,5698.48,APAC,60,"Johnson, Gonzalez and Santos",Tier 1,North America,6,6.0,0.0,False,True,0.0,2024-07
PO-2023-000085,SUP-020,2023-12-10,2024-01-05,,Cancelled,Logistics Services,203,60.47,12275.41,North America,60,Lewis-Porter,Tier 3,North America,26,,,False,False,0.0,2023-12
PO-2023-000086,SUP-016,2023-07-12,2023-07-18,2023-07-18,Delivered,Packaging,249,421.4,104928.6,EMEA,60,"Sanchez, Ford and Nelson",Tier 2,APAC,6,6.0,0.0,False,True,0.0,2023-07
PO-2024-000087,SUP-007,2024-10-01,2024-10-10,2024-10-10,Delivered,Packaging,245,465.54,114057.3,APAC,45,Ramirez-Lewis,Tier 2,APAC,9,9.0,0.0,False,True,0.0,2024-10
PO-2023-000088,SUP-005,2023-05-14,2023-05-22,2023-05-22,Delivered,Logistics Services,83,9.58,795.14,North America,60,Cole LLC,Tier 1,APAC,8,8.0,0.0,False,True,0.0,2023-05
PO-2024-000089,SUP-021,2024-05-09,2024-06-07,2024-06-07,Delivered,Packaging,313,261.67,81902.71,EMEA,45,"Ellis, Baker and Wright",Tier 3,APAC,29,29.0,0.0,False,True,0.0,2024-05
PO-2023-000090,SUP-004,2023-04-24,2023-04-30,2023-04-30,Delivered,MRO,131,229.96,30124.76,North America,60,"Johnson, Gonzalez and Santos",Tier 1,North America,6,6.0,0.0,False,True,0.0,2023-04
PO-2024-000091,SUP-009,2024-05-28,2024-06-15,2024-06-15,Delivered,Logistics Services,408,112.1,45736.8,APAC,45,Munoz-Roman,Tier 2,APAC,18,18.0,0.0,False,True,0.0,2024-05
PO-2024-000092,SUP-021,2024-08-26,2024-09-01,,Cancelled,Raw Materials,24,86.92,2086.08,APAC,45,"Ellis, Baker and Wright",Tier 3,APAC,6,,,False,False,0.0,2024-08
PO-2023-000093,SUP-011,2023-08-11,2023-08-26,2023-09-06,Delivered,Raw Materials,80,348.08,27846.4,North America,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,15,26.0,11.0,True,False,612.62,2023-08
PO-2023-000094,SUP-017,2023-07-05,2023-07-18,2023-07-18,Delivered,Packaging,11,67.82,746.02,EMEA,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,13,13.0,0.0,False,True,0.0,2023-07
PO-2024-000095,SUP-011,2024-03-11,2024-03-24,2024-03-24,Delivered,Raw Materials,74,333.49,24678.26,North America,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,13,13.0,0.0,False,True,0.0,2024-03
PO-2024-000096,SUP-023,2024-02-21,2024-03-21,2024-03-30,Delivered,Packaging,309,279.0,86211.0,APAC,30,Robinson-Bright,Tier 3,APAC,29,38.0,9.0,True,False,1551.8,2024-02
PO-2024-000097,SUP-024,2024-02-01,2024-02-20,2024-02-20,Delivered,Logistics Services,462,11.17,5160.54,EMEA,30,Campos Inc,Tier 3,EMEA,19,19.0,0.0,False,True,0.0,2024-02
PO-2023-000098,SUP-006,2023-10-13,2023-10-23,2023-10-23,Delivered,Packaging,88,78.94,6946.72,APAC,30,Blake and Sons,Tier 2,APAC,10,10.0,0.0,False,True,0.0,2023-10
PO-2023-000099,SUP-018,2023-05-20,2023-05-31,2023-05-31,Delivered,MRO,325,192.63,62604.75,EMEA,45,Underwood LLC,Tier 3,North America,11,11.0,0.0,False,True,0.0,2023-05
PO-2024-000100,SUP-025,2024-01-09,2024-02-11,2024-02-11,Delivered,Electronics,393,433.46,170349.78,North America,60,Conner Group,Tier 3,EMEA,33,33.0,0.0,False,True,0.0,2024-01
PO-2023-000101,SUP-024,2023-10-29,2023-11-16,2023-11-16,Delivered,Logistics Services,374,361.06,135036.44,EMEA,30,Campos Inc,Tier 3,EMEA,18,18.0,0.0,False,True,0.0,2023-10
PO-2023-000102,SUP-020,2023-09-01,2023-09-28,2023-09-28,Delivered,Logistics Services,308,468.01,144147.08,EMEA,60,Lewis-Porter,Tier 3,North America,27,27.0,0.0,False,True,0.0,2023-09
PO-2023-000103,SUP-001,2023-09-11,2023-09-18,2023-09-18,Delivered,Logistics Services,203,173.04,35127.12,North America,45,"Rodriguez, Figueroa and Sanchez",Tier 1,North America,7,7.0,0.0,False,True,0.0,2023-09
PO-2023-000104,SUP-010,2023-11-28,2023-12-12,2023-12-12,Delivered,Packaging,379,96.95,36744.05,EMEA,45,"Martinez, Nielsen and Miller",Tier 2,APAC,14,14.0,0.0,False,True,0.0,2023-11
PO-2023-000105,SUP-005,2023-03-31,2023-04-04,2023-04-04,Delivered,Logistics Services,32,250.28,8008.96,North America,60,Cole LLC,Tier 1,APAC,4,4.0,0.0,False,True,0.0,2023-03
PO-2023-000106,SUP-019,2023-08-07,2023-08-27,2023-08-27,Delivered,Electronics,384,491.27,188647.68,EMEA,45,Clark PLC,Tier 3,EMEA,20,20.0,0.0,False,True,0.0,2023-08
PO-2024-000107,SUP-008,2024-10-20,2024-10-31,2024-10-31,Delivered,Electronics,159,310.29,49336.11,North America,60,Davis Inc,Tier 2,EMEA,11,11.0,0.0,False,True,0.0,2024-10
PO-2023-000108,SUP-006,2023-11-15,2023-12-04,2023-12-04,Delivered,Packaging,88,151.54,13335.52,North America,30,Blake and Sons,Tier 2,APAC,19,19.0,0.0,False,True,0.0,2023-11
PO-2023-000109,SUP-003,2023-01-22,2023-02-01,2023-02-01,Delivered,Logistics Services,388,448.58,174049.04,North America,30,Johnson-Davis,Tier 1,North America,10,10.0,0.0,False,True,0.0,2023-01
PO-2024-000110,SUP-015,2024-03-08,2024-03-23,2024-03-23,Delivered,Logistics Services,97,356.57,34587.29,EMEA,30,"Zuniga, Wong and Lynch",Tier 2,APAC,15,15.0,0.0,False,True,0.0,2024-03
PO-2024-000111,SUP-013,2024-01-07,2024-01-27,2024-01-27,Delivered,MRO,27,444.55,12002.85,APAC,30,Delacruz Group,Tier 2,APAC,20,20.0,0.0,False,True,0.0,2024-01
PO-2023-000112,SUP-018,2023-12-10,2023-12-29,2023-12-29,Delivered,Raw Materials,187,67.2,12566.4,North America,45,Underwood LLC,Tier 3,North America,19,19.0,0.0,False,True,0.0,2023-12
PO-2024-000113,SUP-022,2024-10-29,2024-11-21,2024-11-24,Delivered,Electronics,134,19.88,2663.92,North America,30,Burgess-Patterson,Tier 3,APAC,23,26.0,3.0,True,False,15.98,2024-10
PO-2024-000114,SUP-011,2024-03-01,2024-03-21,2024-03-21,Delivered,Electronics,333,494.36,164621.88,EMEA,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,20,20.0,0.0,False,True,0.0,2024-03
PO-2024-000115,SUP-014,2024-08-10,2024-08-26,2024-08-29,Delivered,Raw Materials,466,398.26,185589.16,EMEA,60,"Flowers, Martin and Kelly",Tier 2,EMEA,16,19.0,3.0,True,False,1113.53,2024-08
PO-2024-000116,SUP-014,2024-08-02,2024-08-16,2024-08-16,Delivered,Electronics,113,6.14,693.82,APAC,60,"Flowers, Martin and Kelly",Tier 2,EMEA,14,14.0,0.0,False,True,0.0,2024-08
PO-2023-000117,SUP-008,2023-10-06,2023-10-20,2023-10-20,Delivered,Electronics,234,199.5,46683.0,EMEA,60,Davis Inc,Tier 2,EMEA,14,14.0,0.0,False,True,0.0,2023-10
PO-2024-000118,SUP-015,2024-05-18,2024-05-29,2024-05-29,Delivered,Raw Materials,235,475.28,111690.8,North America,30,"Zuniga, Wong and Lynch",Tier 2,APAC,11,11.0,0.0,False,True,0.0,2024-05
PO-2024-000119,SUP-014,2024-11-21,2024-12-08,2024-12-08,Delivered,Electronics,424,376.06,159449.44,APAC,60,"Flowers, Martin and Kelly",Tier 2,EMEA,17,17.0,0.0,False,True,0.0,2024-11
PO-2023-000120,SUP-005,2023-05-01,2023-05-10,2023-05-10,Delivered,Packaging,158,204.55,32318.9,EMEA,60,Cole LLC,Tier 1,APAC,9,9.0,0.0,False,True,0.0,2023-05
PO-2024-000121,SUP-023,2024-09-26,2024-10-23,2024-10-23,Delivered,Raw Materials,351,222.82,78209.82,EMEA,30,Robinson-Bright,Tier 3,APAC,27,27.0,0.0,False,True,0.0,2024-09
PO-2024-000122,SUP-014,2024-04-12,2024-04-24,2024-05-07,Delivered,Logistics Services,170,102.92,17496.4,North America,60,"Flowers, Martin and Kelly",Tier 2,EMEA,12,25.0,13.0,True,False,454.91,2024-04
PO-2024-000123,SUP-010,2024-04-12,2024-04-26,2024-04-30,Delivered,Packaging,148,338.99,50170.52,APAC,45,"Martinez, Nielsen and Miller",Tier 2,APAC,14,18.0,4.0,True,False,401.36,2024-04
PO-2024-000124,SUP-003,2024-01-18,2024-01-24,2024-01-24,Delivered,Packaging,353,314.61,111057.33,EMEA,30,Johnson-Davis,Tier 1,North America,6,6.0,0.0,False,True,0.0,2024-01
PO-2024-000125,SUP-014,2024-04-24,2024-05-10,2024-05-10,Delivered,Logistics Services,481,224.75,108104.75,North America,60,"Flowers, Martin and Kelly",Tier 2,EMEA,16,16.0,0.0,False,True,0.0,2024-04
PO-2024-000126,SUP-011,2024-08-22,2024-09-08,2024-09-08,Delivered,Raw Materials,276,125.88,34742.88,APAC,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,17,17.0,0.0,False,True,0.0,2024-08
PO-2024-000127,SUP-014,2024-11-15,2024-11-22,2024-11-22,Delivered,Packaging,61,230.94,14087.34,EMEA,60,"Flowers, Martin and Kelly",Tier 2,EMEA,7,7.0,0.0,False,True,0.0,2024-11
